Name:RF120
Material Name:Al
Type: HSG
Unit: cm
Cell_type: NULL
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 0.331364
SOBP Width(mmWEPL):120
Gy_RBE: 4.036530
data_lines: 121
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.25482
       2      0.1000       0.00663
       3      0.2000       0.13252
       4      0.3000       0.00552
       5      0.4000       0.09742
       6      0.5000       0.01096
       7      0.6000       0.07316
       8      0.7000       0.01916
       9      0.8000       0.05494
      10      0.9000       0.02589
      11      1.0000       0.04110
      12      1.1000       0.02972
      13      1.2000       0.03276
      14      1.3000       0.02965
      15      1.4000       0.02928
      16      1.5000       0.02747
      17      1.6000       0.02729
      18      1.7000       0.02600
      19      1.8000       0.02744
      20      1.9000       0.02606
      21      2.0000       0.02591
      22      2.1000       0.02654
      23      2.2000       0.02501
      24      2.3000       0.02559
      25      2.4000       0.02503
      26      2.5000       0.02440
      27      2.6000       0.02487
      28      2.7000       0.02370
      29      2.8000       0.02420
      30      2.9000       0.02336
      31      3.0000       0.02353
      32      3.1000       0.02315
      33      3.2000       0.02264
      34      3.3000       0.02271
      35      3.4000       0.02182
      36      3.5000       0.02219
      37      3.6000       0.02137
      38      3.7000       0.02162
      39      3.8000       0.02081
      40      3.9000       0.02131
      41      4.0000       0.02016
      42      4.1000       0.02098
      43      4.2000       0.01954
      44      4.3000       0.02064
      45      4.4000       0.01918
      46      4.5000       0.01990
      47      4.6000       0.01899
      48      4.7000       0.01925
      49      4.8000       0.01885
      50      4.9000       0.01872
      51      5.0000       0.01845
      52      5.1000       0.01846
      53      5.2000       0.01801
      54      5.3000       0.01810
      55      5.4000       0.01763
      56      5.5000       0.01783
      57      5.6000       0.01715
      58      5.7000       0.01768
      59      5.8000       0.01660
      60      5.9000       0.01741
      61      6.0000       0.01645
      62      6.1000       0.01699
      63      6.2000       0.01632
      64      6.3000       0.01658
      65      6.4000       0.01621
      66      6.5000       0.01610
      67      6.6000       0.01609
      68      6.7000       0.01584
      69      6.8000       0.01570
      70      6.9000       0.01568
      71      7.0000       0.01552
      72      7.1000       0.01546
      73      7.2000       0.01519
      74      7.3000       0.01522
      75      7.4000       0.01500
      76      7.5000       0.01492
      77      7.6000       0.01483
      78      7.7000       0.01459
      79      7.8000       0.01470
      80      7.9000       0.01440
      81      8.0000       0.01439
      82      8.1000       0.01436
      83      8.2000       0.01406
      84      8.3000       0.01421
      85      8.4000       0.01394
      86      8.5000       0.01402
      87      8.6000       0.01363
      88      8.7000       0.01393
      89      8.8000       0.01351
      90      8.9000       0.01368
      91      9.0000       0.01345
      92      9.1000       0.01347
      93      9.2000       0.01328
      94      9.3000       0.01329
      95      9.4000       0.01317
      96      9.5000       0.01310
      97      9.6000       0.01305
      98      9.7000       0.01290
      99      9.8000       0.01290
     100      9.9000       0.01285
     101     10.0000       0.01271
     102     10.1000       0.01271
     103     10.2000       0.01265
     104     10.3000       0.01252
     105     10.4000       0.01249
     106     10.5000       0.01238
     107     10.6000       0.01244
     108     10.7000       0.01222
     109     10.8000       0.01229
     110     10.9000       0.01214
     111     11.0000       0.01208
     112     11.1000       0.01214
     113     11.2000       0.01203
     114     11.3000       0.01197
     115     11.4000       0.01183
     116     11.5000       0.01203
     117     11.6000       0.01166
     118     11.7000       0.01191
     119     11.8000       0.01234
     120     11.9000       0.00909
     121     12.0000       0.01891
