Name:MRF2
Material Name:Al
Type: Phy
Unit: cm
Cell_type: NULL
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 2.20909
SOBP Width(mmWEPL):3
Gy_RBE: 0.000000
data_lines: 17
 PeakNo.   Shift /Depth      Dose /Gy
       1    0.0000   0.60653
       2    0.0200   0.67761
       3    0.0400   0.74659
       4    0.0600   0.81127
       5    0.0800   0.86941
       6    0.1000   0.91890
       7    0.1200   0.95783
       8    0.1400   0.98466
       9    0.1600   0.99832
      10    0.1800   0.99822
      11    0.2000   0.98439
      12    0.2200   0.95738
      13    0.2400   0.91829
      14    0.2600   0.86868
      15    0.2800   0.81043
      16    0.3000   0.74567
      17    0.3200   0.67665
