Name: RF30
Material Name:Al
Cell_Type:BIO
Unit: cm
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 2.20909
SOBP Width(mmWEPL):30
Gy_RBE: 4.036530
data_lines: 61
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.26436
       2      0.0500       0.00037
       3      0.1000       0.00003
       4      0.1500       0.04732
       5      0.2000       0.09117
       6      0.2500       0.00042
       7      0.3000       0.00181
       8      0.3500       0.07540
       9      0.4000       0.02383
      10      0.4500       0.00527
      11      0.5000       0.02416
      12      0.5500       0.05078
      13      0.6000       0.01353
      14      0.6500       0.00976
      15      0.7000       0.02885
      16      0.7500       0.03335
      17      0.8000       0.01469
      18      0.8500       0.01354
      19      0.9000       0.02404
      20      0.9500       0.02525
      21      1.0000       0.01637
      22      1.0500       0.01472
      23      1.1000       0.01960
      24      1.1500       0.02096
      25      1.2000       0.01673
      26      1.2500       0.01509
      27      1.3000       0.01679
      28      1.3500       0.01799
      29      1.4000       0.01655
      30      1.4500       0.01490
      31      1.5000       0.01539
      32      1.5500       0.01615
      33      1.6000       0.01515
      34      1.6500       0.01459
      35      1.7000       0.01512
      36      1.7500       0.01541
      37      1.8000       0.01512
      38      1.8500       0.01507
      39      1.9000       0.01525
      40      1.9500       0.01501
      41      2.0000       0.01431
      42      2.0500       0.01480
      43      2.1000       0.01579
      44      2.1500       0.01482
      45      2.2000       0.01393
      46      2.2500       0.01476
      47      2.3000       0.01515
      48      2.3500       0.01417
      49      2.4000       0.01434
      50      2.4500       0.01495
      51      2.5000       0.01421
      52      2.5500       0.01386
      53      2.6000       0.01486
      54      2.6500       0.01397
      55      2.7000       0.01329
      56      2.7500       0.01598
      57      2.8000       0.01549
      58      2.8500       0.01082
      59      2.9000       0.01056
      60      2.9500       0.01317
      61      3.0000       0.03668
