Name:MRF4
Material Name:Al
Type: PHY
Unit: cm
Cell_type: NULL
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 2.20909
SOBP Width(mmWEPL):4
Gy_RBE: 0.000000
data_lines: 17
 PeakNo.   Shift /Depth      Dose /Gy
       1    0.0000   0.60653
       2    0.0400   0.67761
       3    0.0800   0.74659
       4    0.1200   0.81127
       5    0.1600   0.86941
       6    0.2000   0.91890
       7    0.2400   0.95783
       8    0.2800   0.98466
       9    0.3200   0.99832
      10    0.3600   0.99822
      11    0.4000   0.98439
      12    0.4400   0.95738
      13    0.4800   0.91829
      14    0.5200   0.86868
      15    0.5600   0.81043
      16    0.6000   0.74567
      17    0.6400   0.67665
