Name: RF70
Material Name:Al
Type: Phy
Unit: cm
Cell_type: HSG
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 2.20909
SOBP Width(mmWEPL):70
Gy_RBE: 4.036530
data_lines: 141
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.25416
       2      0.0500       0.00142
       3      0.1000       0.00015
       4      0.1500       0.03918
       5      0.2000       0.09281
       6      0.2500       0.00119
       7      0.3000       0.00239
       8      0.3500       0.05902
       9      0.4000       0.03568
      10      0.4500       0.00691
      11      0.5000       0.01464
      12      0.5500       0.04296
      13      0.6000       0.02347
      14      0.6500       0.01153
      15      0.7000       0.01788
      16      0.7500       0.02881
      17      0.8000       0.02142
      18      0.8500       0.01487
      19      0.9000       0.01670
      20      0.9500       0.02077
      21      1.0000       0.01930
      22      1.0500       0.01602
      23      1.1000       0.01589
      24      1.1500       0.01698
      25      1.2000       0.01662
      26      1.2500       0.01556
      27      1.3000       0.01517
      28      1.3500       0.01531
      29      1.4000       0.01504
      30      1.4500       0.01430
      31      1.5000       0.01425
      32      1.5500       0.01440
      33      1.6000       0.01373
      34      1.6500       0.01331
      35      1.7000       0.01366
      36      1.7500       0.01401
      37      1.8000       0.01390
      38      1.8500       0.01364
      39      1.9000       0.01357
      40      1.9500       0.01353
      41      2.0000       0.01320
      42      2.0500       0.01337
      43      2.1000       0.01388
      44      2.1500       0.01343
      45      2.2000       0.01278
      46      2.2500       0.01299
      47      2.3000       0.01332
      48      2.3500       0.01305
      49      2.4000       0.01295
      50      2.4500       0.01294
      51      2.5000       0.01258
      52      2.5500       0.01251
      53      2.6000       0.01306
      54      2.6500       0.01283
      55      2.7000       0.01212
      56      2.7500       0.01225
      57      2.8000       0.01280
      58      2.8500       0.01241
      59      2.9000       0.01201
      60      2.9500       0.01222
      61      3.0000       0.01232
      62      3.0500       0.01216
      63      3.1000       0.01207
      64      3.1500       0.01195
      65      3.2000       0.01183
      66      3.2500       0.01183
      67      3.3000       0.01193
      68      3.3500       0.01166
      69      3.4000       0.01136
      70      3.4500       0.01155
      71      3.5000       0.01171
      72      3.5500       0.01143
      73      3.6000       0.01117
      74      3.6500       0.01139
      75      3.7000       0.01148
      76      3.7500       0.01104
      77      3.8000       0.01093
      78      3.8500       0.01138
      79      3.9000       0.01130
      80      3.9500       0.01070
      81      4.0000       0.01072
      82      4.0500       0.01119
      83      4.1000       0.01111
      84      4.1500       0.01051
      85      4.2000       0.01042
      86      4.2500       0.01097
      87      4.3000       0.01098
      88      4.3500       0.01043
      89      4.4000       0.01030
      90      4.4500       0.01060
      91      4.5000       0.01066
      92      4.5500       0.01036
      93      4.6000       0.01019
      94      4.6500       0.01036
      95      4.7000       0.01038
      96      4.7500       0.01017
      97      4.8000       0.01018
      98      4.8500       0.01031
      99      4.9000       0.01007
     100      4.9500       0.00992
     101      5.0000       0.01013
     102      5.0500       0.01010
     103      5.1000       0.00996
     104      5.1500       0.00988
     105      5.2000       0.00986
     106      5.2500       0.00995
     107      5.3000       0.00989
     108      5.3500       0.00966
     109      5.4000       0.00971
     110      5.4500       0.00988
     111      5.5000       0.00976
     112      5.5500       0.00959
     113      5.6000       0.00942
     114      5.6500       0.00964
     115      5.7000       0.00994
     116      5.7500       0.00943
     117      5.8000       0.00901
     118      5.8500       0.00963
     119      5.9000       0.00983
     120      5.9500       0.00924
     121      6.0000       0.00909
     122      6.0500       0.00956
     123      6.1000       0.00955
     124      6.1500       0.00918
     125      6.2000       0.00915
     126      6.2500       0.00937
     127      6.3000       0.00939
     128      6.3500       0.00916
     129      6.4000       0.00907
     130      6.4500       0.00917
     131      6.5000       0.00930
     132      6.5500       0.00923
     133      6.6000       0.00890
     134      6.6500       0.00877
     135      6.7000       0.00917
     136      6.7500       0.01014
     137      6.8000       0.00924
     138      6.8500       0.00742
     139      6.9000       0.00679
     140      6.9500       0.00878
     141      7.0000       0.02311
