Name:RF90
Material Name:Al
Type: BIO
Unit: cm
Cell_type: NULL
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 0.331364
SOBP Width(mmWEPL):90
Gy_RBE: 4.036530
data_lines: 91
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.25690
       2      0.1000       0.00622
       3      0.2000       0.13445
       4      0.3000       0.00455
       5      0.4000       0.09968
       6      0.5000       0.00940
       7      0.6000       0.07588
       8      0.7000       0.01710
       9      0.8000       0.05791
      10      0.9000       0.02378
      11      1.0000       0.04372
      12      1.1000       0.02827
      13      1.2000       0.03441
      14      1.3000       0.02921
      15      1.4000       0.02997
      16      1.5000       0.02769
      17      1.6000       0.02760
      18      1.7000       0.02633
      19      1.8000       0.02778
      20      1.9000       0.02632
      21      2.0000       0.02628
      22      2.1000       0.02680
      23      2.2000       0.02534
      24      2.3000       0.02591
      25      2.4000       0.02532
      26      2.5000       0.02473
      27      2.6000       0.02517
      28      2.7000       0.02400
      29      2.8000       0.02456
      30      2.9000       0.02363
      31      3.0000       0.02392
      32      3.1000       0.02346
      33      3.2000       0.02300
      34      3.3000       0.02309
      35      3.4000       0.02218
      36      3.5000       0.02263
      37      3.6000       0.02173
      38      3.7000       0.02210
      39      3.8000       0.02119
      40      3.9000       0.02183
      41      4.0000       0.02055
      42      4.1000       0.02155
      43      4.2000       0.01992
      44      4.3000       0.02128
      45      4.4000       0.01957
      46      4.5000       0.02056
      47      4.6000       0.01943
      48      4.7000       0.01991
      49      4.8000       0.01936
      50      4.9000       0.01938
      51      5.0000       0.01903
      52      5.1000       0.01912
      53      5.2000       0.01865
      54      5.3000       0.01881
      55      5.4000       0.01829
      56      5.5000       0.01860
      57      5.6000       0.01783
      58      5.7000       0.01855
      59      5.8000       0.01727
      60      5.9000       0.01837
      61      6.0000       0.01714
      62      6.1000       0.01798
      63      6.2000       0.01707
      64      6.3000       0.01756
      65      6.4000       0.01703
      66      6.5000       0.01709
      67      6.6000       0.01699
      68      6.7000       0.01680
      69      6.8000       0.01670
      70      6.9000       0.01664
      71      7.0000       0.01656
      72      7.1000       0.01647
      73      7.2000       0.01625
      74      7.3000       0.01631
      75      7.4000       0.01609
      76      7.5000       0.01607
      77      7.6000       0.01596
      78      7.7000       0.01577
      79      7.8000       0.01591
      80      7.9000       0.01558
      81      8.0000       0.01567
      82      8.1000       0.01561
      83      8.2000       0.01534
      84      8.3000       0.01561
      85      8.4000       0.01513
      86      8.5000       0.01567
      87      8.6000       0.01466
      88      8.7000       0.01566
      89      8.8000       0.01553
      90      8.9000       0.01201
      91      9.0000       0.02394
