Name: RF20
Material Name:Al
Type: Phy
Unit: cm
Cell_type: HSG
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 2.20909
SOBP Width(mmWEPL):10
Gy_RBE: 4.036530
data_lines: 41
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.01000
       2      0.0250       0.01000
       3      0.0500       0.01000
       4      0.0750       0.01000
       5      0.1000       0.01000
       6      0.1250       0.01000
       7      0.1500       0.01000
       8      0.1750       0.01000
       9      0.2000       0.01771
      10      0.2250       0.00471
      11      0.2500       0.03325
      12      0.2750       0.04892
      13      0.3000       0.00923
      14      0.3250       0.01024
      15      0.3500       0.03912
      16      0.3750       0.02925
      17      0.4000       0.01087
      18      0.4250       0.01546
      19      0.4500       0.03170
      20      0.4750       0.02278
      21      0.5000       0.01309
      22      0.5250       0.01636
      23      0.5500       0.02492
      24      0.5750       0.02049
      25      0.6000       0.01439
