Z	ZARatio 	I 	Density
1	0.99212	19.2	8.38E-05
2	0.49968	41.8	1.66E-04
3	0.43221	40	5.34E-01
4	0.44384	63.7	1.85E+00
5	0.46245	76	2.37E+00
6	0.49954	78	1.70E+00
7	0.49976	82	1.17E-03
8	0.50002	95	1.33E-03
9	0.47372	115	1.58E-03
10	0.49555	137	8.39E-04
11	0.47847	149	9.71E-01
12	0.49373	156	1.74E+00
13	0.48181	166	2.70E+00
14	0.49848	173	2.33E+00
15	0.48428	173	2.20E+00
16	0.49897	180	2.00E+00
17	0.47951	174	3.00E-03
18	0.45059	188	1.66E-03
19	0.48595	190	8.62E-01
20	0.49903	191	1.55E+00
21	0.46712	216	2.99E+00
22	0.45948	233	4.54E+00
23	0.4515	245	6.11E+00
24	0.46157	257	7.18E+00
25	0.45506	272	7.44E+00
26	0.46556	286	7.87E+00
27	0.45815	297	8.90E+00
28	0.47708	311	8.90E+00
29	0.45636	322	8.96E+00
30	0.45879	330	7.13E+00
31	0.44462	334	5.90E+00
32	0.44071	350	5.32E+00
33	0.44046	347	5.73E+00
34	0.4306	348	4.50E+00
35	0.43803	343	7.07E-03
36	0.42959	352	3.48E-03
37	0.43291	363	1.53E+00
38	0.43369	366	2.54E+00
39	0.43867	379	4.47E+00
40	0.43848	393	6.51E+00
41	0.4413	417	8.57E+00
42	0.43777	424	1.02E+01
43	0.43919	428	1.15E+01
44	0.43534	441	1.24E+01
45	0.43729	449	1.24E+01
46	0.43225	470	1.20E+01
47	0.43572	470	1.05E+01
48	0.427	469	8.65E+00
49	0.42676	488	7.31E+00
50	0.4212	488	7.31E+00
51	0.41889	487	6.69E+00
52	0.40752	485	6.24E+00
53	0.41764	491	4.93E+00
54	0.4113	482	5.49E-03
55	0.41383	488	1.87E+00
56	0.40779	491	3.50E+00
57	0.41035	501	6.15E+00
58	0.41395	523	6.66E+00
59	0.41871	535	6.71E+00
60	0.41597	546	6.90E+00
61	0.42094	560	7.22E+00
62	0.41234	574	7.46E+00
63	0.41457	580	5.24E+00
64	0.40699	591	7.90E+00
65	0.409	614	8.23E+00
66	0.40615	628	8.55E+00
67	0.40623	650	8.80E+00
68	0.40655	658	9.07E+00
69	0.40844	674	9.32E+00
70	0.40453	684	6.73E+00
71	0.40579	694	9.84E+00
72	0.40338	705	1.33E+01
73	0.40343	718	1.67E+01
74	0.4025	727	1.93E+01
75	0.40278	736	2.10E+01
76	0.39958	746	2.26E+01
77	0.40058	757	2.24E+01
78	0.39984	790	2.15E+01
79	0.40108	790	1.93E+01
80	0.39882	800	1.36E+01
81	0.39631	810	1.17E+01
82	0.39575	823	1.14E+01
83	0.39717	823	9.75E+00
84	0.40195	830	9.32E+00
85	0.40479	825	1.00E+01
86	0.38736	794	9.07E-03
87	0.3901	827	1.00E+01
88	0.38934	826	5.00E+00
89	0.39202	841	1.01E+01
90	0.38787	847	1.17E+01
91	0.39388	878	1.54E+01
92	0.38651	890	1.90E+01
