"Restricted stopping power for water
Temin(Mev), TCmin(MeV), TCmax(Mev), ndata
0.100000 1.000000 6000.000000 6000
====================================
energy		Sw		MW		Lw		b		range"
1	6859.4	0	3057.3381858201665	1.3301577435315475	0.00032708190563869154
2	8452.1	0	3562.518213397414	1.085334649510097	0.0006541638112773831
3	8718.9	0	3597.4152047352864	0.9822306087498117	0.0008421009578892886
4	8634.88	0	3548.7199598197885	0.925377417110125	0.0011228012771857183
5	8442.34	0	3472.7667876153982	0.8815257316981568	0.0013898868258016167
6	8216.2	0	3387.029518248297	0.8452731170725469	0.0016678641909619399
7	7980.38	0	3299.3130359392326	0.815606880545897	0.0019725422347373596
8	7745.7	0	3213.7795325213797	0.7924141437974057	0.0022543339825569827
9	7517.16	0	3132.8176510381477	0.7757048309507478	0.0025915935478581092
10	7296.85	0	3057.8068231559405	0.7654034186368014	0.0028795483865090106
11	7085.72	0	2989.4964144364035	0.7612933924870148	0.0032476835353029273
12	6884	0	2928.220576412159	0.7630116114062276	0.003542927493057739
13	6691.74	0	2874.031578039963	0.770062526473276	0.0039402141774338255
14	6508.65	0	2826.787863736795	0.7818417782910336	0.004243307575697966
15	6334.19	0	2786.21477882878	0.7976644293792233	0.004667401683348113
16	6167.84	0	2751.947735030762	0.8167948890612715	0.004978561795571321
17	6009.05	0	2723.5635526101382	0.8384762894398937	0.005426424992966497
18	5857.3	0	2700.60354999258	0.8619575309821272	0.005745626463140997
19	5713.27	0	2682.5907090341716	0.8865166740372183	0.006213603768595897
20	5575.47	0	2669.042491678265	0.9114798383395407	0.0065406355458904174
21	5443.65	0	2659.480407345794	0.9362352494410249	0.007024594476377399
22	5317.54	0	2653.437117638833	0.9602424918992071	0.007359098975252513
23	5196.87	0	2650.4616531700585	0.9830373588429179	0.007854599542559411
24	5081.4	0	2650.1231702196874	1.0042329103943852	0.008196103870496777
25	4970.54	0	2652.013570379261	1.023517471377683	0.008698582225408095
26	4864.34	0	2655.749230653616	1.040650326800872	0.00904652551442442
27	4762.53	0	2660.972035696373	1.0554558335660256	0.009551477260238443
28	4664.85	0	2667.349862152892	1.0678165820710548	0.00990523567728431
29	4571.03	0	2674.5766334610166	1.0776661330551363	0.0104083863958939
30	4480.8	0	2682.372039197269	1.0849817400068742	0.01076729627161438
31	4393.91	0	2690.48099425151	1.0897773577591456	0.011264748819676793
32	4310.2	0	2698.672898367107	1.0920971408608042	0.011628127813859915
33	4229.54	0	2706.740744950284	1.0920095545453692	0.012116478783237614
34	4151.78	0	2714.5001187668126	1.0896021574314192	0.012483644806972087
