seondary             mass    charge	   10 MeV 	   20 MeV 	   30 MeV 	   40 MeV 	   50 MeV 	   60 MeV 	   70 MeV 	   80 MeV 	   90 MeV 	  100 MeV 	  110 MeV 	  120 MeV 	  130 MeV 	  140 MeV 	  150 MeV 	  160 MeV 	  170 MeV 	  180 MeV 	  190 MeV 	  200 MeV 	  210 MeV 	  220 MeV 	  230 MeV 	  240 MeV 	  250 MeV 	  260 MeV 	  270 MeV 	  280 MeV 	  290 MeV 	  300 MeV 	  310 MeV 	  320 MeV 	  330 MeV 	  340 MeV 	  350 MeV 	  360 MeV 	  370 MeV 	  380 MeV 	  390 MeV 	  400 MeV 	  410 MeV 	  420 MeV 	  430 MeV 	  440 MeV 	  450 MeV 
alpha            3727.380         2	  1.586608717    	  2.101495122    	  2.148292300    	  2.192847010    	  2.263790370    	  2.309242730    	  2.335848570    	  2.318245410    	  2.270552640    	  2.223145960    	  2.168351890    	  1.908372711    	  1.801358346    	  1.683825543    	  1.558418665    	  1.597126720    	  1.559550050    	  1.525323390    	  1.466075374    	  1.437129506    	  1.414693710    	  1.392606411    	  1.373331546    	  1.312832588    	  1.297323838    	  1.282603189    	  1.269086266    	  1.256823685    	  1.246362323    	  1.237196979    	  1.226400296    	  1.217360086    	  1.209384542    	  1.202648729    	  1.193574329    	  1.184984067    	  1.179485838    	  1.173559975    	  1.166817255    	  1.162118555    	   1.21634138    	   1.21114838    	   1.20634830    	   1.20037436    	   1.19669795    
B10              9324.439         5	  0.082901003    	  0.099286368    	  0.072163001    	  0.085718796    	  0.072649665    	  0.069897667    	  0.067624666    	  0.065260336    	  0.059717316    	  0.059188168    	  0.051489300    	  0.049700699    	  0.047849100    	  0.046085699    	  0.044612401    	  0.043460101    	  0.042379801    	  0.041203501    	  0.040179598    	  0.039885900    	  0.039099600    	  0.038623800    	  0.038391899    	  0.037927800    	  0.037797301    	  0.037366501    	  0.037293598    	  0.037227599    	  0.036690001    	  0.036852901    	  0.032301334    	  0.032494667    	  0.032240266    	  0.032163468    	  0.031878400    	  0.025444479    	  0.025368106    	  0.025239253    	  0.025250559    	  0.025202134    	   3.94299999E-02	   3.90316658E-02	   3.89356650E-02	   3.88920009E-02	   3.86363342E-02
B11             10252.551         5	  0.283071128    	  0.263438626    	  0.261263669    	  0.294343597    	  0.224715665    	  0.209025666    	  0.194022000    	  0.185280338    	  0.172930715    	  0.172683394    	  0.164527800    	  0.154099198    	  0.149740796    	  0.147685794    	  0.146603094    	  0.144072001    	  0.141359697    	  0.139870803    	  0.138683402    	  0.137568301    	  0.136881293    	  0.136079098    	  0.135809402    	  0.135491399    	  0.135091201    	  0.134885395    	  0.135021302    	  0.134568598    	  0.134571000    	  0.134880003    	  0.119650138    	  0.119861066    	  0.119600272    	  0.119884801    	  0.119799471    	  0.095569706    	  0.095711574    	  0.095446186    	  0.095349331    	  0.095294084    	  0.148742661    	  0.148582995    	  0.148315668    	  0.148032665    	  0.148062661    
B8               7472.321         5	   6.30999974E-04	   3.84933339E-03	   5.61866676E-03	   5.73733356E-03	   5.52600017E-03	   5.60466666E-03	   5.98266674E-03	   6.75066654E-03	   7.37500004E-03	   7.76300021E-03	   8.53466708E-03	   9.33933351E-03	   9.07099992E-03	   7.90099986E-03	   6.35966659E-03	   6.26166677E-03	   6.09900011E-03	   6.06000004E-03	   5.95833315E-03	   6.02966687E-03	   5.97566646E-03	   5.90766687E-03	   5.92300016E-03	   5.92199992E-03	   5.86566655E-03	   5.94200008E-03	   5.90966688E-03	   5.90300001E-03	   6.01899996E-03	   6.01866655E-03	   5.97999990E-03	   6.02399977E-03	   5.96266659E-03	   5.96033316E-03	   5.90399979E-03	   5.99966664E-03	   5.94600011E-03	   5.96966688E-03	   6.02299999E-03	   5.96500002E-03	   6.05733320E-03	   6.03500009E-03	   6.07866654E-03	   6.11666683E-03	   6.00466644E-03
Be10             9325.506         4	   6.65666675E-03	   2.27476675E-02	   2.07086671E-02	   1.94116663E-02	   1.98586658E-02	   2.01976672E-02	   2.00576670E-02	   1.92436669E-02	   1.82903334E-02	   1.79216675E-02	   1.73176657E-02	   1.57910008E-02	   1.43120000E-02	   1.29813338E-02	   1.19396662E-02	   1.16893332E-02	   1.15506668E-02	   1.14126671E-02	   1.12870000E-02	   1.11903334E-02	   1.12300003E-02	   1.10373329E-02	   1.11296671E-02	   1.10763330E-02	   1.10086668E-02	   1.10149998E-02	   1.09603330E-02	   1.09639997E-02	   1.10423332E-02	   1.09360004E-02	   1.10459998E-02	   1.09240003E-02	   1.09593337E-02	   1.10253338E-02	   1.09350001E-02	   1.09409997E-02	   1.09483330E-02	   1.08916666E-02	   1.09293330E-02	   1.09173330E-02	   1.10173337E-02	   1.11096669E-02	   1.11303329E-02	   1.08810002E-02	   1.09373331E-02
Be7              6534.186         4	  0.091017500    	  0.115278505    	  0.115971498    	  0.100032797    	  0.083705999    	  0.081611998    	  0.081591666    	  0.083245665    	  0.080994002    	  0.077551000    	  0.077996001    	  0.074976852    	  0.079248667    	  0.074233317    	  0.076686387    	  0.068319002    	  0.067130998    	  0.066000601    	  0.065406901    	  0.064679398    	  0.063928501    	  0.063610498    	  0.063243002    	  0.062889299    	  0.062771999    	  0.061602537    	  0.061341175    	  0.061284805    	  0.061262259    	  0.061176520    	  0.047714512    	  0.047640503    	  0.047582968    	  0.047502929    	  0.047506641    	  0.045414500    	  0.045223712    	  0.045005254    	  0.045091578    	  0.044894145    	   6.75686672E-02	   6.74566701E-02	   6.72693327E-02	   6.72499985E-02	   6.70283362E-02
Be9              8392.753         4	  0.033566499    	  0.057620002    	  0.052537998    	  0.037893999    	  0.029917000    	  0.029154334    	  0.027915001    	  0.026322667    	  0.025353666    	  0.025635000    	  0.024500666    	  0.022406699    	  0.022116333    	  0.019569684    	  0.019019880    	  0.016939499    	  0.016582201    	  0.016305600    	  0.016122301    	  0.015901500    	  0.015603600    	  0.015555300    	  0.015478200    	  0.015305701    	  0.015150000    	  0.015036847    	  0.014909281    	  0.014937463    	  0.014795953    	  0.014820873    	  0.011576800    	  0.011481911    	  0.011534576    	  0.011492351    	  0.011437136    	  0.010905093    	  0.010785573    	  0.010770080    	  0.010747726    	  0.010733338    	   1.61963329E-02	   1.61346663E-02	   1.59980003E-02	   1.61630008E-02	   1.60623342E-02
C10              9327.577         6	   2.41399999E-03	   7.83499982E-03	   7.09499978E-03	   6.59266673E-03	   6.60966663E-03	   6.48233341E-03	   6.33966690E-03	   5.98033331E-03	   5.69899986E-03	   5.65999979E-03	   5.59766684E-03	   5.39800012E-03	   5.15699992E-03	   5.02233347E-03	   5.00633335E-03	   4.97666653E-03	   4.89966664E-03	   4.79499996E-03	   4.81100008E-03	   4.81700012E-03	   4.77233343E-03	   4.73733339E-03	   4.76133311E-03	   4.71400004E-03	   4.71533323E-03	   4.67999978E-03	   4.67566680E-03	   4.66566673E-03	   4.72133327E-03	   4.72733332E-03	   4.74799983E-03	   4.72800015E-03	   4.69799992E-03	   4.69399989E-03	   4.78400011E-03	   4.79266653E-03	   4.78066644E-03	   4.71166661E-03	   4.72466648E-03	   4.78433352E-03	   4.82900022E-03	   4.73900000E-03	   4.72400011E-03	   4.81733354E-03	   4.79966681E-03
C11             10254.022         6	  0.034171599    	  0.118945385    	  0.129706559    	  0.145608015    	  0.102448001    	  0.094993666    	  0.088491000    	  0.084034670    	  0.082863739    	  0.082105377    	  0.082049668    	  0.078204334    	  0.076971002    	  0.075960331    	  0.075678497    	  0.076123960    	  0.075203923    	  0.074424813    	  0.073864320    	  0.073466519    	  0.071877002    	  0.071236998    	  0.071234330    	  0.071243331    	  0.071157001    	  0.057050669    	  0.056952936    	  0.057021201    	  0.056998533    	  0.057011336    	  0.057030398    	  0.057024264    	  0.057007736    	  0.057019734    	  0.056963599    	  0.051565200    	  0.051346439    	  0.051336000    	  0.051206041    	  0.051227762    	  0.142267331    	  0.142085329    	  0.142091334    	  0.142228007    	  0.141716674    
C12             11174.867         6	  0.046063000    	  0.071164320    	  0.035752681    	  0.036984783    	  0.028309667    	  0.028649000    	  0.028650001    	  0.027112681    	  0.028041884    	  0.028870800    	  0.026638834    	  0.034176834    	  0.026166167    	  0.018702833    	  0.011977834    	  0.011251450    	  0.010549350    	  0.009862210    	  0.009379920    	  0.008902730    	  0.008429334    	  0.008034334    	  0.007721667    	  0.007467000    	  0.007150667    	  0.005543467    	  0.005366000    	  0.005280000    	  0.005090800    	  0.004948267    	  0.004803333    	  0.004680800    	  0.004569333    	  0.004438933    	  0.004378800    	  0.003875040    	  0.003794040    	  0.003732720    	  0.003701400    	  0.003654120    	   1.00156665E-02	   9.85100027E-03	   9.85299982E-03	   9.67733376E-03	   9.68699995E-03
