seondary             mass    charge	   10 MeV 	   20 MeV 	   30 MeV 	   40 MeV 	   50 MeV 	   60 MeV 	   70 MeV 	   80 MeV 	   90 MeV 	  100 MeV 	  110 MeV 	  120 MeV 	  130 MeV 	  140 MeV 	  150 MeV 	  160 MeV 	  170 MeV 	  180 MeV 	  190 MeV 	  200 MeV 	  210 MeV 	  220 MeV 	  230 MeV 	  240 MeV 	  250 MeV 	  260 MeV 	  270 MeV 	  280 MeV 	  290 MeV 	  300 MeV 	  310 MeV 	  320 MeV 	  330 MeV 	  340 MeV 	  350 MeV 	  360 MeV 	  370 MeV 	  380 MeV 	  390 MeV 	  400 MeV 	  410 MeV 	  420 MeV 	  430 MeV 	  440 MeV 	  450 MeV 
Al25            23271.807        13	   6.49999993E-06	   6.10999996E-04	   1.45650003E-03	   2.51500006E-03	   3.65850003E-03	   3.81799997E-03	   3.75499995E-03	   3.64449993E-03	   3.64649994E-03	   3.77200008E-03	   3.36449989E-03	   2.94300006E-03	   2.41399999E-03	   1.84699998E-03	   1.44699996E-03	   1.44250004E-03	   1.43900001E-03	   1.41100003E-03	   1.40349998E-03	   1.43850001E-03	   1.38050003E-03	   1.42200000E-03	   1.43349997E-03	   1.41549995E-03	   1.47599995E-03	   1.42099999E-03	   1.45450002E-03	   1.42850005E-03	   1.39999995E-03	   1.43800001E-03	   1.41449994E-03	   1.41649996E-03	   1.48600002E-03	   1.43650000E-03	   1.43499998E-03	   1.46299996E-03	   1.42099999E-03	   1.38449995E-03	   1.43049995E-03	   1.46399997E-03	   1.43049995E-03	   1.42099999E-03	   1.43599999E-03	   1.46299996E-03	   1.39700004E-03
Al26            24200.006        13	   9.79999968E-05	   6.22900017E-03	   1.14585003E-02	   1.25244996E-02	   1.19510004E-02	   1.12495003E-02	   1.06849996E-02	   1.02255000E-02	   1.00929998E-02	   1.16969999E-02	   1.25949997E-02	   1.22090001E-02	   1.17539996E-02	   1.10665001E-02	   1.02800000E-02	   1.01845004E-02	   9.87750012E-03	   9.71349981E-03	   9.64100007E-03	   9.61500034E-03	   9.50550009E-03	   9.44699999E-03	   9.38150007E-03	   9.34000034E-03	   9.26200021E-03	   9.33250040E-03	   9.25800018E-03	   9.23349988E-03	   9.26650036E-03	   9.15899966E-03	   9.15099960E-03	   9.19650029E-03	   9.17700026E-03	   9.04799998E-03	   9.02399980E-03	   8.98000039E-03	   8.89299996E-03	   8.94549955E-03	   9.00899991E-03	   8.91149975E-03	   8.95749964E-03	   8.84750020E-03	   8.86350032E-03	   8.85699969E-03	   8.95250030E-03
Al27            25126.514        13	   4.12499998E-04	   1.78520009E-02	   2.78385002E-02	   2.52745003E-02	   2.20375005E-02	   2.04370003E-02	   1.96154993E-02	   1.90130007E-02	   1.90299992E-02	   2.26514991E-02	   2.53270008E-02	   2.48300005E-02	   2.40895003E-02	   2.33490001E-02	   2.21625008E-02	   2.17279997E-02	   2.13580001E-02	   2.07579993E-02	   2.06534993E-02	   2.02360004E-02	   2.01085005E-02	   1.99724995E-02	   1.96260009E-02	   1.94269996E-02	   1.93620007E-02	   1.93045009E-02	   1.90740004E-02	   1.88919995E-02	   1.87350009E-02	   1.87264998E-02	   1.85959991E-02	   1.86525006E-02	   1.84125006E-02	   1.82409994E-02	   1.83585007E-02	   1.81945004E-02	   1.81699991E-02	   1.81684997E-02	   1.80795006E-02	   1.78089999E-02	   1.78309996E-02	   1.79065000E-02	   1.77580006E-02	   1.79494992E-02	   1.78200006E-02
Al28            26058.354        13	   6.94999981E-05	   4.23600012E-03	   7.42849987E-03	   6.91050012E-03	   6.50400016E-03	   6.10599993E-03	   6.01849984E-03	   5.88299986E-03	   5.92149980E-03	   6.63200021E-03	   6.98000006E-03	   6.63500000E-03	   6.32299995E-03	   5.79399988E-03	   5.42100007E-03	   5.28299995E-03	   5.07850014E-03	   4.97649983E-03	   4.79750009E-03	   4.81850002E-03	   4.74700006E-03	   4.62150015E-03	   4.59549995E-03	   4.55499999E-03	   4.50900011E-03	   4.55649989E-03	   4.52050008E-03	   4.33599995E-03	   4.32150019E-03	   4.34250012E-03	   4.32900013E-03	   4.31100000E-03	   4.30550007E-03	   4.26449999E-03	   4.23600012E-03	   4.21850011E-03	   4.26700013E-03	   4.12900001E-03	   4.18999977E-03	   4.09349985E-03	   4.15399997E-03	   4.13550017E-03	   4.08349978E-03	   4.16250015E-03	   4.12799977E-03
Al29            26988.482        13	   5.50000004E-06	   7.21000019E-04	   2.12450000E-03	   2.38150009E-03	   2.50849989E-03	   2.64550000E-03	   2.61100009E-03	   2.63700006E-03	   2.54000002E-03	   2.45900010E-03	   2.06699991E-03	   1.87849998E-03	   1.47599995E-03	   1.20349997E-03	   8.85999994E-04	   8.24999996E-04	   8.83499975E-04	   8.14499974E-04	   7.90000020E-04	   7.98000023E-04	   8.07999982E-04	   7.39499985E-04	   7.68999977E-04	   7.00499979E-04	   7.23999983E-04	   7.25999998E-04	   7.61499978E-04	   7.38499977E-04	   7.07999978E-04	   7.22999976E-04	   7.23999983E-04	   7.20500015E-04	   7.40499992E-04	   7.02999998E-04	   7.13000016E-04	   6.96000003E-04	   7.17499992E-04	   6.73000002E-04	   6.90500019E-04	   7.02999998E-04	   6.85499981E-04	   6.64499996E-04	   7.01499986E-04	   7.06000021E-04	   7.02999998E-04
alpha            3727.380         2	  0.635056671    	  1.711234869    	  1.992880940    	  2.205545430    	  2.326773410    	  2.374671460    	  2.373549460    	  2.374739890    	  2.335839510    	  2.227031950    	  1.775068040    	  1.702494952    	  1.723721296    	  1.764015119    	  1.789195762    	  1.894616960    	  1.896981480    	  1.896389960    	  1.851011289    	  1.840209171    	  1.832028611    	  1.819630200    	  1.807565900    	  1.742674727    	  1.732534437    	  1.722516782    	  1.712501844    	  1.703472521    	  1.697354588    	  1.687349625    	  1.680893425    	  1.674204950    	  1.668715888    	  1.662691387    	  1.656302228    	  1.652189603    	  1.646626934    	  1.643232071    	  1.639655331    	  1.635651537    	   1.71870446    	   1.71417654    	   1.71171498    	   1.70982003    	   1.70713699    
Ar35            32570.068        18	   2.06399988E-03	   5.91150019E-03	   5.43549983E-03	   5.45600010E-03	   5.53350011E-03	   5.36949979E-03	   5.16999979E-03	   4.89450013E-03	   4.89600003E-03	   4.86750016E-03	   4.62750020E-03	   4.27650008E-03	   3.95849999E-03	   3.60050006E-03	   3.33749992E-03	   3.22950003E-03	   3.23750009E-03	   3.08350008E-03	   3.03249992E-03	   3.04899993E-03	   3.03800008E-03	   2.96600000E-03	   3.02250008E-03	   2.99499999E-03	   2.99949991E-03	   3.01699992E-03	   3.00200004E-03	   3.01950006E-03	   3.04499990E-03	   2.99800001E-03	   2.99199997E-03	   3.02900001E-03	   3.02450010E-03	   2.98699993E-03	   2.97200005E-03	   3.03000002E-03	   2.97349994E-03	   2.94000003E-03	   2.96499999E-03	   3.04850005E-03	   2.99450010E-03	   3.00500006E-03	   2.99600000E-03	   2.98550003E-03	   2.98199989E-03
Ar36            33494.383        18	   2.51735002E-02	   4.60354984E-02	   3.93594988E-02	   3.74610014E-02	   3.59004997E-02	   3.41220014E-02	   3.32455002E-02	   3.24255005E-02	   3.16760018E-02	   3.00389994E-02	   3.02000009E-02	   3.01360004E-02	   2.80620009E-02	   2.60019992E-02	   2.48994995E-02	   2.40460001E-02	   2.35814992E-02	   2.27464996E-02	   2.26470008E-02	   2.24904995E-02	   2.18765009E-02	   2.18985006E-02	   2.16630008E-02	   2.16320008E-02	   2.13594995E-02	   2.13044994E-02	   2.12370008E-02	   2.10350007E-02	   2.08850000E-02	   2.08369996E-02	   2.08410006E-02	   2.08314992E-02	   2.05384996E-02	   2.07094997E-02	   2.04550009E-02	   2.04349998E-02	   2.05095001E-02	   2.04715002E-02	   2.03859992E-02	   2.03425009E-02	   2.01399997E-02	   2.02500001E-02	   2.03610007E-02	   1.99490003E-02	   1.98539998E-02
Ar37            34425.156        18	   3.74009982E-02	   6.03090003E-02	   5.07140011E-02	   4.71840017E-02	   4.30895016E-02	   4.00565006E-02	   3.83590013E-02	   3.59230004E-02	   3.73384990E-02	   3.60310003E-02	   3.65615003E-02	   3.56380008E-02	   3.48095000E-02	   3.44140008E-02	   3.34849991E-02	   3.24255005E-02	   3.14434990E-02	   3.03624999E-02	   2.97139995E-02	   2.90415008E-02	   2.87400000E-02	   2.82474998E-02	   2.77904999E-02	   2.73394994E-02	   2.71645002E-02	   2.67999992E-02	   2.68019997E-02	   2.65584998E-02	   2.63209995E-02	   2.60559991E-02	   2.59655006E-02	   2.57200003E-02	   2.57980004E-02	   2.54699998E-02	   2.52299998E-02	   2.54110005E-02	   2.51755007E-02	   2.50004996E-02	   2.48220004E-02	   2.47760005E-02	   2.47740000E-02	   2.45175008E-02	   2.44135000E-02	   2.41644997E-02	   2.39840001E-02
Ar38            35352.887        18	   7.18730018E-02	   7.15745017E-02	   5.43294996E-02	   5.08649983E-02	   4.73545007E-02	   4.57290001E-02	   4.56715003E-02	   4.66700010E-02	   4.48524989E-02	   4.43505011E-02	   4.74325009E-02	   4.28549983E-02	   3.72110009E-02	   3.46699990E-02	   3.33214998E-02	   3.17520015E-02	   3.02970000E-02	   2.93940008E-02	   2.82589998E-02	   2.72784997E-02	   2.69709993E-02	   2.64069997E-02	   2.60300003E-02	   2.54250001E-02	   2.51954999E-02	   2.50439998E-02	   2.47475002E-02	   2.45689992E-02	   2.44069993E-02	   2.41414998E-02	   2.41024997E-02	   2.39349995E-02	   2.35204995E-02	   2.38074996E-02	   2.33395007E-02	   2.33130008E-02	   2.31895000E-02	   2.32075006E-02	   2.31164992E-02	   2.29010005E-02	   2.27825008E-02	   2.27700006E-02	   2.25109998E-02	   2.23555006E-02	   2.24715006E-02
