secondary    mass   charge	   10 MeV 	   20 MeV 	   30 MeV 	   40 MeV 	   50 MeV 	   60 MeV 	   70 MeV 	   80 MeV 	   90 MeV 	  100 MeV 	  110 MeV 	  120 MeV 	  130 MeV 	  140 MeV 	  150 MeV 	  160 MeV 	  170 MeV 	  180 MeV 	  190 MeV 	  200 MeV 	  210 MeV 	  220 MeV 	  230 MeV 	  240 MeV 	  250 MeV 	  260 MeV 	  270 MeV 	  280 MeV 	  290 MeV 	  300 MeV 	  310 MeV 	  320 MeV 	  330 MeV 	  340 MeV 	  350 MeV 	  360 MeV 	  370 MeV 	  380 MeV 	  390 MeV 	  400 MeV 	  410 MeV 	  420 MeV 	  430 MeV 	  440 MeV 	  450 MeV 
alpha            3727.380         2	  0.893244010    	  2.190084050    	  1.464599970    	  1.182199950    	  1.053722020    	  1.023417950    	  1.041422610    	  1.025061010    	  1.004722360    	  0.990483820    	  0.983018816    	  0.927017397    	  0.919919017    	  0.912524378    	  0.906733570    	  0.948209822    	  0.944543421    	  0.939039826    	  0.916044039    	  0.912250669    	  0.908295964    	  0.905207750    	  0.901964336    	  0.871380118    	  0.868211811    	  0.865930867    	  0.862842458    	  0.860459080    	  0.858146426    	  0.856599050    	  0.855636322    	  0.854031020    	  0.852644742    	  0.849683624    	  0.848470843    	  0.847900862    	  0.846984678    	  0.845741320    	  0.844991386    	  0.844290829    	  0.887430429    	  0.886132002    	  0.884880602    	  0.885373175    	  0.884503007    
B10              9324.439         5	  0.000000000    	  0.000000000    	  0.026200000    	  0.048479998    	  0.044836000    	  0.048080001    	  0.050909799    	  0.053113598    	  0.053394181    	  0.055531869    	  0.054147420    	  0.055202939    	  0.056476620    	  0.057720421    	  0.059009403    	  0.060122158    	  0.060883737    	  0.061801381    	  0.062604723    	  0.063126540    	  0.063915841    	  0.064651322    	  0.065028059    	  0.065316778    	  0.065917801    	  0.066105542    	  0.066868383    	  0.067087439    	  0.067349698    	  0.067510262    	  0.059994721    	  0.060051841    	  0.060134399    	  0.060170561    	  0.060156959    	  0.060264480    	  0.060113442    	  0.059894723    	  0.059860319    	  0.059701759    	   7.45242015E-02	   7.45207965E-02	   7.44770020E-02	   7.38606006E-02	   7.37994015E-02
B11             10252.551         5	  0.000000000    	  0.004180000    	  0.102600001    	  0.114240003    	  0.090311997    	  0.083733998    	  0.083315797    	  0.086479001    	  0.082577802    	  0.082446128    	  0.077778000    	  0.078420422    	  0.079165258    	  0.080154182    	  0.081490499    	  0.082769222    	  0.084147837    	  0.086075098    	  0.087542280    	  0.089224380    	  0.091092237    	  0.092511896    	  0.094343403    	  0.095735878    	  0.097418341    	  0.099091081    	  0.100292221    	  0.101503620    	  0.102695399    	  0.103798438    	  0.093166238    	  0.094328642    	  0.094753921    	  0.095815998    	  0.096422720    	  0.097234082    	  0.097700482    	  0.098405761    	  0.098977602    	  0.099307358    	  0.124436401    	  0.125225201    	  0.125611797    	  0.126048401    	  0.126127601    
B8               7472.321         5	   0.00000000    	   0.00000000    	   1.99999995E-04	   6.39999984E-03	   6.05600001E-03	   5.23399981E-03	   4.85280016E-03	   5.06639993E-03	   5.54740010E-03	   5.78959985E-03	   5.94480010E-03	   6.12480007E-03	   6.22140011E-03	   6.26940001E-03	   6.28140010E-03	   6.29340019E-03	   6.28620014E-03	   6.30739983E-03	   6.22820016E-03	   6.18320005E-03	   6.13299990E-03	   6.08940003E-03	   5.96940005E-03	   5.99880004E-03	   5.87080000E-03	   5.82819991E-03	   5.71520021E-03	   5.67559991E-03	   5.63960010E-03	   5.51440008E-03	   5.44560002E-03	   5.41860005E-03	   5.32680005E-03	   5.27200010E-03	   5.20240003E-03	   5.11639984E-03	   5.10400021E-03	   5.04400022E-03	   4.99639986E-03	   4.95880004E-03	   4.87399986E-03	   4.89619980E-03	   4.81079984E-03	   4.72480012E-03	   4.77019977E-03
Be10             9325.506         4	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   1.52000005E-03	   2.98399990E-03	   3.48019996E-03	   3.80739989E-03	   4.02919995E-03	   4.41720011E-03	   4.79840022E-03	   5.13660023E-03	   5.45859989E-03	   5.77179994E-03	   6.02959981E-03	   6.35580020E-03	   6.60420023E-03	   6.76279981E-03	   6.96100015E-03	   7.20100012E-03	   7.34179979E-03	   7.60520017E-03	   7.84219988E-03	   7.94280041E-03	   8.10899958E-03	   8.32679961E-03	   8.52140039E-03	   8.73180013E-03	   8.91019963E-03	   9.13119968E-03	   9.22940020E-03	   9.30619985E-03	   9.50300042E-03	   9.66720004E-03	   9.80519969E-03	   9.93799977E-03	   1.01415999E-02	   1.02848001E-02	   1.02971997E-02	   1.05208000E-02	   1.06199998E-02	   1.06937997E-02	   1.08439997E-02	   1.09534003E-02	   1.10338004E-02
Be7              6534.186         4	  0.000000000    	  0.000000000    	  0.029700000    	  0.055440000    	  0.055039998    	  0.059140000    	  0.060759202    	  0.062003400    	  0.065688401    	  0.068346597    	  0.069858000    	  0.066888550    	  0.071067601    	  0.068019998    	  0.071418601    	  0.064943998    	  0.064984681    	  0.064963981    	  0.064938600    	  0.064825022    	  0.064649700    	  0.064458183    	  0.064459980    	  0.064045257    	  0.063781200    	  0.062567887    	  0.062061125    	  0.061782907    	  0.061511281    	  0.061022495    	  0.059319733    	  0.058799124    	  0.058530471    	  0.058194476    	  0.057757907    	  0.054561878    	  0.053992167    	  0.053756112    	  0.053275041    	  0.053013762    	   6.35116026E-02	   6.26507998E-02	   6.24531992E-02	   6.20005988E-02	   6.15243986E-02
Be9              8392.753         4	  0.000000000    	  0.000000000    	  0.000300000    	  0.005040000    	  0.007442000    	  0.008656000    	  0.009068000    	  0.009272600    	  0.009552600    	  0.009658600    	  0.009778200    	  0.009484610    	  0.010208000    	  0.009903560    	  0.010530036    	  0.009819900    	  0.010047960    	  0.010212300    	  0.010356480    	  0.010621260    	  0.010762560    	  0.010779840    	  0.010928340    	  0.011109060    	  0.011209680    	  0.011217204    	  0.011429202    	  0.011501470    	  0.011698338    	  0.011755476    	  0.011599884    	  0.011701326    	  0.011715768    	  0.011873586    	  0.011935530    	  0.011533016    	  0.011557584    	  0.011635604    	  0.011766744    	  0.011878794    	   1.43355997E-02	   1.44928005E-02	   1.45485997E-02	   1.45835998E-02	   1.46292001E-02
C10              9327.577         6	   0.00000000    	   0.00000000    	   1.59999996E-03	   4.00000019E-03	   5.07800002E-03	   6.57400023E-03	   7.59699987E-03	   8.37980025E-03	   9.17119998E-03	   9.84499976E-03	   1.02453995E-02	   1.04540000E-02	   1.06803998E-02	   1.07554002E-02	   1.09740002E-02	   1.09999999E-02	   1.10080000E-02	   1.10120000E-02	   1.10393995E-02	   1.09471995E-02	   1.08810002E-02	   1.07640000E-02	   1.07394001E-02	   1.06629999E-02	   1.05141997E-02	   1.04360003E-02	   1.04152001E-02	   1.02882003E-02	   1.02078002E-02	   1.01103997E-02	   9.97400004E-03	   9.85779986E-03	   9.76680033E-03	   9.73699987E-03	   9.73800011E-03	   9.58259962E-03	   9.46819969E-03	   9.30400006E-03	   9.28559992E-03	   9.16559994E-03	   9.08320025E-03	   8.94560013E-03	   8.90280027E-03	   8.74380022E-03	   8.69899988E-03
C11             10254.022         6	  0.000000000    	  0.014630000    	  0.126683996    	  0.175759992    	  0.143911004    	  0.139691994    	  0.128991694    	  0.122481870    	  0.119064218    	  0.115297784    	  0.113513999    	  0.109970897    	  0.106705301    	  0.104203403    	  0.101744197    	  0.101500199    	  0.099296082    	  0.097554939    	  0.095893053    	  0.094304403    	  0.091063097    	  0.089737699    	  0.088427402    	  0.087350502    	  0.086224303    	  0.085294001    	  0.084115103    	  0.083210498    	  0.082317397    	  0.081462100    	  0.080511898    	  0.079470798    	  0.078676998    	  0.077858299    	  0.076988399    	  0.068396397    	  0.067650213    	  0.066921122    	  0.066110042    	  0.065285189    	  0.143732607    	  0.142323807    	  0.140570998    	  0.139346406    	  0.137731597    
C12             11174.867         6	  0.141040003    	  0.134859996    	  0.059184000    	  0.048750002    	  0.026279001    	  0.021777000    	  0.017778600    	  0.014506842    	  0.012369658    	  0.010884468    	  0.010009900    	  0.009094900    	  0.008365500    	  0.007813300    	  0.007327200    	  0.007095324    	  0.006749646    	  0.006469656    	  0.006215778    	  0.005961084    	  0.005606200    	  0.005439500    	  0.005191200    	  0.005074700    	  0.004935200    	  0.004760300    	  0.004646500    	  0.004516800    	  0.004414800    	  0.004290800    	  0.004203800    	  0.004160200    	  0.004074600    	  0.004002100    	  0.003954700    	  0.003499650    	  0.003423600    	  0.003405420    	  0.003347820    	  0.003315870    	   7.30059994E-03	   7.24620000E-03	   7.16219982E-03	   7.00740004E-03	   7.03419978E-03
