seondary             mass    charge	   10 MeV 	   20 MeV 	   30 MeV 	   40 MeV 	   50 MeV 	   60 MeV 	   70 MeV 	   80 MeV 	   90 MeV 	  100 MeV 	  110 MeV 	  120 MeV 	  130 MeV 	  140 MeV 	  150 MeV 	  160 MeV 	  170 MeV 	  180 MeV 	  190 MeV 	  200 MeV 	  210 MeV 	  220 MeV 	  230 MeV 	  240 MeV 	  250 MeV 	  260 MeV 	  270 MeV 	  280 MeV 	  290 MeV 	  300 MeV 	  310 MeV 	  320 MeV 	  330 MeV 	  340 MeV 	  350 MeV 	  360 MeV 	  370 MeV 	  380 MeV 	  390 MeV 	  400 MeV 	  410 MeV 	  420 MeV 	  430 MeV 	  440 MeV 	  450 MeV 
alpha            3727.380         2	  1.180905191    	  1.839021797    	  1.975172040    	  2.067779060    	  2.125412940    	  2.152872560    	  2.160440680    	  2.160567280    	  2.137471440    	  2.106297020    	  2.062871690    	  1.883521281    	  1.805144371    	  1.718499621    	  1.625185529    	  1.677666660    	  1.648958680    	  1.619894980    	  1.561081523    	  1.536309466    	  1.512319663    	  1.490852812    	  1.470996288    	  1.407698866    	  1.389863642    	  1.373840296    	  1.360146929    	  1.344765812    	  1.331715700    	  1.319424011    	  1.308833316    	  1.298048070    	  1.287099624    	  1.278523632    	  1.269961225    	  1.261562921    	  1.252681723    	  1.245538321    	  1.237430052    	  1.230962519    	   1.28863728    	   1.28209770    	   1.27592897    	   1.26992464    	   1.26266837    
B10              9324.439         5	  0.050731333    	  0.081175965    	  0.071052663    	  0.085478801    	  0.073693998    	  0.074699670    	  0.073907331    	  0.073166668    	  0.067728984    	  0.067268549    	  0.058958401    	  0.053940601    	  0.048764401    	  0.043990501    	  0.040958401    	  0.039396601    	  0.038786999    	  0.037685399    	  0.037093201    	  0.036665100    	  0.036035401    	  0.035528400    	  0.035203199    	  0.034657798    	  0.034667401    	  0.034288200    	  0.034006501    	  0.033886201    	  0.033847201    	  0.033767100    	  0.029867467    	  0.029473868    	  0.029501334    	  0.029247200    	  0.029041067    	  0.029130134    	  0.029141065    	  0.028913066    	  0.028745601    	  0.028832534    	   3.55769992E-02	   3.56639996E-02	   3.53650004E-02	   3.53936665E-02	   3.51213329E-02
B11             10252.551         5	  0.230398465    	  0.190856967    	  0.188942000    	  0.213500797    	  0.163171336    	  0.151203662    	  0.142397001    	  0.137209669    	  0.128798143    	  0.128085964    	  0.119314206    	  0.110045403    	  0.104270399    	  0.099147299    	  0.095329497    	  0.093108903    	  0.091454697    	  0.089878799    	  0.089099101    	  0.088152301    	  0.087266998    	  0.086434501    	  0.085826397    	  0.085389297    	  0.085217100    	  0.085181098    	  0.085015800    	  0.085267203    	  0.085006801    	  0.084444000    	  0.075001067    	  0.074876535    	  0.074749333    	  0.074711466    	  0.074751198    	  0.074637336    	  0.074441868    	  0.074343735    	  0.074250668    	  0.074117064    	   9.26056653E-02	   9.22653303E-02	   9.19080004E-02	   9.19503346E-02	   9.16450024E-02
B12             11188.746         5	   1.49266666E-03	   4.76366654E-03	   5.80100017E-03	   5.66999987E-03	   5.82633354E-03	   6.02533342E-03	   6.40900014E-03	   6.47100015E-03	   6.45833323E-03	   6.47433335E-03	   5.89600019E-03	   4.82399995E-03	   3.71333328E-03	   2.66233343E-03	   1.76699995E-03	   1.78333337E-03	   1.79200002E-03	   1.72766671E-03	   1.71433331E-03	   1.77033339E-03	   1.76233333E-03	   1.72333338E-03	   1.79000001E-03	   1.75733329E-03	   1.76833337E-03	   1.73966668E-03	   1.77099998E-03	   1.83500000E-03	   1.85333332E-03	   1.80633331E-03	   1.82400004E-03	   1.81499997E-03	   1.86066667E-03	   1.82033330E-03	   1.88200001E-03	   1.87299994E-03	   1.86500000E-03	   1.89399999E-03	   1.91533333E-03	   1.92299997E-03	   1.87000004E-03	   1.90966669E-03	   1.93999999E-03	   1.93200004E-03	   1.91866665E-03
B8               7472.321         5	   4.41999990E-04	   3.43166664E-03	   5.16833318E-03	   6.42966665E-03	   6.72933320E-03	   7.13033322E-03	   7.42333336E-03	   7.79666658E-03	   8.01333319E-03	   8.46000016E-03	   9.15566646E-03	   9.50499997E-03	   9.28566698E-03	   8.89866706E-03	   8.24499968E-03	   8.11500009E-03	   8.11433326E-03	   7.96566624E-03	   7.95833301E-03	   7.83966668E-03	   7.86466710E-03	   7.85266701E-03	   7.66699994E-03	   7.78833311E-03	   7.73200020E-03	   7.58633344E-03	   7.65833352E-03	   7.68266665E-03	   7.56966649E-03	   7.62133347E-03	   7.58800004E-03	   7.62799988E-03	   7.61266658E-03	   7.64300022E-03	   7.53233349E-03	   7.57399993E-03	   7.53433350E-03	   7.57199991E-03	   7.54566677E-03	   7.60400016E-03	   7.47600012E-03	   7.52466684E-03	   7.56666670E-03	   7.63833337E-03	   7.61333341E-03
Be10             9325.506         4	   5.17466664E-03	   1.63083337E-02	   2.25093327E-02	   2.34249998E-02	   2.44093332E-02	   2.47723330E-02	   2.40013339E-02	   2.29336675E-02	   2.14156657E-02	   2.07286663E-02	   1.99003331E-02	   1.88456662E-02	   1.72979999E-02	   1.54176671E-02	   1.31810000E-02	   1.30249998E-02	   1.27659999E-02	   1.26403337E-02	   1.23269996E-02	   1.22963330E-02	   1.21820001E-02	   1.19780004E-02	   1.19733335E-02	   1.19186668E-02	   1.19273337E-02	   1.19176665E-02	   1.18183335E-02	   1.17473332E-02	   1.17096668E-02	   1.17166666E-02	   1.17813330E-02	   1.17283333E-02	   1.16093336E-02	   1.17243333E-02	   1.17750000E-02	   1.16699999E-02	   1.17553333E-02	   1.17343329E-02	   1.16670001E-02	   1.17253335E-02	   1.17196664E-02	   1.16876671E-02	   1.17036663E-02	   1.16303330E-02	   1.15593337E-02
Be7              6534.186         4	  0.056314001    	  0.087251499    	  0.093123497    	  0.082029203    	  0.071902670    	  0.073550336    	  0.076635331    	  0.079212003    	  0.079714663    	  0.079148665    	  0.077085003    	  0.072294999    	  0.074952334    	  0.069043151    	  0.069784771    	  0.062329200    	  0.061087800    	  0.060269397    	  0.059411399    	  0.058485299    	  0.058037699    	  0.057461400    	  0.056803802    	  0.056423398    	  0.055989601    	  0.055079135    	  0.054769413    	  0.054589931    	  0.054193582    	  0.054044656    	  0.052159110    	  0.052370229    	  0.052063122    	  0.051808210    	  0.051819810    	  0.049354013    	  0.049146791    	  0.049136000    	  0.048947036    	  0.048693057    	   5.83443344E-02	   5.82799986E-02	   5.81986681E-02	   5.79686649E-02	   5.77293336E-02
Be9              8392.753         4	  0.016965000    	  0.043266999    	  0.049252002    	  0.038933198    	  0.031486332    	  0.029536000    	  0.028316001    	  0.026888000    	  0.025587000    	  0.024990667    	  0.024637668    	  0.022673650    	  0.022778001    	  0.020516516    	  0.019657440    	  0.017245201    	  0.016983000    	  0.016716900    	  0.016509900    	  0.016229100    	  0.016015500    	  0.015843001    	  0.015741300    	  0.015723901    	  0.015522001    	  0.015477396    	  0.015291980    	  0.015292870    	  0.015067701    	  0.015100334    	  0.014668201    	  0.014624120    	  0.014748531    	  0.014574241    	  0.014590190    	  0.013931273    	  0.013807879    	  0.013849103    	  0.013804007    	  0.013714643    	   1.64439995E-02	   1.63876675E-02	   1.62560008E-02	   1.65036675E-02	   1.64206661E-02
C10              9327.577         6	   1.96533324E-03	   6.62200013E-03	   9.02966689E-03	   1.02083329E-02	   1.12003330E-02	   1.15476670E-02	   1.10970000E-02	   1.02416668E-02	   9.58833378E-03	   9.04533360E-03	   8.71699955E-03	   8.47100001E-03	   7.95366708E-03	   7.31266662E-03	   6.48666685E-03	   6.47399994E-03	   6.26433315E-03	   6.15633326E-03	   6.25533331E-03	   6.22733356E-03	   6.19533332E-03	   6.18666690E-03	   6.22933311E-03	   6.06099982E-03	   6.15599984E-03	   6.17666682E-03	   6.16933312E-03	   6.13966677E-03	   6.19099988E-03	   6.24466687E-03	   6.12866646E-03	   6.30133320E-03	   6.19133329E-03	   6.19233353E-03	   6.33999985E-03	   6.37033349E-03	   6.30200002E-03	   6.25299988E-03	   6.36633346E-03	   6.36200001E-03	   6.21866668E-03	   6.36000000E-03	   6.25433354E-03	   6.39333343E-03	   6.33900007E-03
C11             10254.022         6	  0.026098400    	  0.084646285    	  0.092737441    	  0.105201196    	  0.074572168    	  0.069227665    	  0.065981000    	  0.062499992    	  0.061923095    	  0.061230399    	  0.060685999    	  0.056935001    	  0.054507833    	  0.052258998    	  0.050787501    	  0.050725450    	  0.049833460    	  0.049455889    	  0.048735771    	  0.048280171    	  0.047178835    	  0.046709668    	  0.046503000    	  0.046296500    	  0.046404500    	  0.046257500    	  0.046124499    	  0.046114333    	  0.045938332    	  0.046004165    	  0.045934498    	  0.045887668    	  0.045896333    	  0.045750167    	  0.045561332    	  0.041203049    	  0.041212500    	  0.041094899    	  0.041028001    	  0.040985850    	   9.10366699E-02	   9.10423324E-02	   9.06089991E-02	   9.06819999E-02	   9.08013359E-02
C12             11174.867         6	  0.040033600    	  0.106675064    	  0.079571164    	  0.091622484    	  0.071618832    	  0.071471170    	  0.070754997    	  0.067491133    	  0.067163972    	  0.065601523    	  0.063148670    	  0.052979000    	  0.046844501    	  0.039074834    	  0.031874832    	  0.031101840    	  0.029844180    	  0.028867361    	  0.027955989    	  0.027145601    	  0.026188666    	  0.025590668    	  0.025116166    	  0.024781167    	  0.024481000    	  0.024042666    	  0.023847166    	  0.023480499    	  0.023238666    	  0.023168834    	  0.022895167    	  0.022771167    	  0.022535000    	  0.022361666    	  0.022083167    	  0.019878449    	  0.019683600    	  0.019617300    	  0.019511101    	  0.019294201    	   4.28286679E-02	   4.27533351E-02	   4.25806679E-02	   4.21889983E-02	   4.22836654E-02
C13             12109.486         6	   6.50300011E-02	   7.77959973E-02	   6.20229989E-02	   5.75796664E-02	   5.44516668E-02	   5.06229997E-02	   4.66479994E-02	   4.37069982E-02	   4.15506661E-02	   3.99156660E-02	   3.91199999E-02	   3.65903340E-02	   3.43349986E-02	   3.23713347E-02	   3.11226659E-02	   3.04230005E-02	   2.98583340E-02	   2.94886660E-02	   2.90156659E-02	   2.88016666E-02	   2.87136659E-02	   2.83553340E-02	   2.83103324E-02	   2.80906670E-02	   2.78816670E-02	   2.77500004E-02	   2.77846660E-02	   2.75133327E-02	   2.75263339E-02	   2.72006672E-02	   2.72876658E-02	   2.71913335E-02	   2.73396671E-02	   2.71506663E-02	   2.69916672E-02	   2.69353334E-02	   2.70133335E-02	   2.69056670E-02	   2.69523337E-02	   2.66176667E-02	   2.67939996E-02	   2.65720002E-02	   2.63443328E-02	   2.64256671E-02	   2.64933333E-02
C14             13040.875         6	   1.07336668E-02	   1.55739998E-02	   1.39466664E-02	   1.31480005E-02	   1.21879997E-02	   1.10139996E-02	   1.03906663E-02	   9.34766699E-03	   9.13533289E-03	   8.68966710E-03	   9.58499964E-03	   9.45500005E-03	   9.59833339E-03	   9.74700041E-03	   9.89133306E-03	   9.75966640E-03	   9.43033304E-03	   9.37299989E-03	   9.28466674E-03	   9.23133362E-03	   9.18766670E-03	   9.07700043E-03	   9.01233312E-03	   8.97033326E-03	   8.94833356E-03	   8.99833348E-03	   8.94033350E-03	   8.94299988E-03	   8.89699999E-03	   8.85033328E-03	   8.78933351E-03	   8.87400005E-03	   8.84533301E-03	   8.74199998E-03	   8.84400029E-03	   8.80500022E-03	   8.82166624E-03	   8.70533288E-03	   8.76333378E-03	   8.70933291E-03	   8.81166663E-03	   8.75633303E-03	   8.70533288E-03	   8.80733319E-03	   8.82033352E-03
C9               8409.298         6	   1.03333332E-05	   3.64000007E-04	   9.41000006E-04	   1.48966664E-03	   1.89833331E-03	   2.21300009E-03	   2.38266657E-03	   2.58799992E-03	   2.59099994E-03	   2.57366663E-03	   2.19366676E-03	   2.00999994E-03	   1.67999999E-03	   1.40399998E-03	   1.09766668E-03	   1.13066670E-03	   1.13033329E-03	   1.07366662E-03	   1.14099996E-03	   1.04766665E-03	   1.09466666E-03	   1.08266668E-03	   1.13333331E-03	   1.11966662E-03	   1.06899999E-03	   1.10899995E-03	   1.10366661E-03	   1.13033329E-03	   1.12499995E-03	   1.16866664E-03	   1.14299997E-03	   1.15400006E-03	   1.17966672E-03	   1.18499994E-03	   1.16400002E-03	   1.20266667E-03	   1.18200004E-03	   1.18133333E-03	   1.18699996E-03	   1.18799997E-03	   1.21433334E-03	   1.21266663E-03	   1.19966664E-03	   1.18633336E-03	   1.22800004E-03
gamma               0.000         0	   1.13745534    	  0.758879304    	  0.606841981    	  0.571637332    	  0.559442997    	  0.549320340    	  0.538735688    	  0.522366643    	  0.513659000    	  0.510296345    	  0.503401339    	  0.519025326    	  0.488369346    	  0.467597008    	  0.452876657    	  0.439716667    	  0.429562986    	  0.420537680    	  0.412450671    	  0.407143652    	  0.401341677    	  0.395906329    	  0.391929001    	  0.387986332    	  0.385997325    	  0.383426666    	  0.380849659    	  0.378878325    	  0.377431989    	  0.375539005    	  0.373427331    	  0.371865004    	  0.370422006    	  0.369583338    	  0.367422014    	  0.367027342    	  0.366064012    	  0.364495993    	  0.363941997    	  0.362918675    	  0.361627996    	  0.360655338    	  0.359082669    	  0.358217657    	  0.357151657    
He3              2808.392         2	  0.061745004    	  0.125926798    	  0.179867670    	  0.206325993    	  0.224461660    	  0.242138669    	  0.260181665    	  0.281289995    	  0.302813679    	  0.320402324    	  0.313549668    	  0.344876591    	  0.402309798    	  0.462234847    	  0.519055322    	  0.555390358    	  0.560519695    	  0.564185321    	  0.553878040    	  0.553521314    	  0.551818413    	  0.549040428    	  0.546302983    	  0.525758180    	  0.521867630    	  0.517389658    	  0.513286880    	  0.508589148    	  0.504752109    	  0.501186413    	  0.497323099    	  0.493852418    	  0.489827895    	  0.486196685    	  0.482904938    	  0.478593555    	  0.476480389    	  0.472863448    	  0.469109051    	  0.467285377    	  0.489477009    	  0.486798674    	  0.484775335    	  0.481819987    	  0.479317009    
He6              5605.538         2	   8.06666678E-04	   4.32433328E-03	   7.47966673E-03	   8.79899971E-03	   9.71500017E-03	   1.03169996E-02	   1.07856663E-02	   1.12456670E-02	   1.12373335E-02	   1.14323329E-02	   1.14393337E-02	   1.20833330E-02	   1.27853332E-02	   1.30273337E-02	   1.32316668E-02	   1.31553337E-02	   1.32130003E-02	   1.29033336E-02	   1.27383331E-02	   1.26620000E-02	   1.24903331E-02	   1.22769997E-02	   1.20313335E-02	   1.19443331E-02	   1.18606668E-02	   1.16756670E-02	   1.16603337E-02	   1.15489997E-02	   1.14186667E-02	   1.13446666E-02	   1.12690004E-02	   1.11253336E-02	   1.11713335E-02	   1.10259997E-02	   1.10336663E-02	   1.09653333E-02	   1.09513337E-02	   1.07926670E-02	   1.09160002E-02	   1.07743330E-02	   1.06626665E-02	   1.06263338E-02	   1.07276663E-02	   1.06183337E-02	   1.05976667E-02
Li6              5601.520         3	  0.045883200    	  0.105597114    	  0.127501076    	  0.139153344    	  0.138380201    	  0.134343669    	  0.135563001    	  0.136717334    	  0.136492670    	  0.131708339    	  0.137377337    	  0.140767664    	  0.137156877    	  0.133292084    	  0.126687217    	  0.121658878    	  0.118833597    	  0.116272959    	  0.113979520    	  0.111679037    	  0.109620481    	  0.108308801    	  0.105113064    	  0.104181119    	  0.100364982    	  0.099273783    	  0.098180719    	  0.097470507    	  0.096381477    	  0.095413351    	  0.094509389    	  0.093982387    	  0.093218238    	  0.089255702    	  0.089316300    	  0.088315199    	  0.087578999    	  0.087237601    	  0.086803197    	  0.086263201    	   9.52470005E-02	   9.48116630E-02	   9.41256657E-02	   9.40850005E-02	   9.33540016E-02
Li7              6533.835         3	  0.039157198    	  0.065589783    	  0.069532719    	  0.087413901    	  0.092893153    	  0.090840667    	  0.093216002    	  0.093811333    	  0.092532665    	  0.090541333    	  0.087507665    	  0.085120998    	  0.080215942    	  0.077786520    	  0.074806991    	  0.072038398    	  0.070727677    	  0.068925762    	  0.067795837    	  0.066674881    	  0.065974402    	  0.064862080    	  0.063286784    	  0.062544516    	  0.060883381    	  0.060135038    	  0.059832482    	  0.059121957    	  0.058716172    	  0.058478707    	  0.058071989    	  0.057706812    	  0.057375112    	  0.055254300    	  0.055273502    	  0.054590102    	  0.054549600    	  0.054374100    	  0.054120299    	  0.053829300    	   5.95940016E-02	   5.94466664E-02	   5.91563322E-02	   5.89783341E-02	   5.90070002E-02
